cluster_id,cluster_length,cluster_max_cat,lag,RESP_TOTAL,baseline_mean,delta_vs_baseline
45,5,emergencia,0,77.0,36.333333333333336,40.666666666666664
45,5,emergencia,1,58.0,36.333333333333336,21.666666666666664
45,5,emergencia,2,44.0,36.333333333333336,7.666666666666664
45,5,emergencia,3,57.0,36.333333333333336,20.666666666666664
45,5,emergencia,4,66.0,36.333333333333336,29.666666666666664
45,5,emergencia,5,48.0,36.333333333333336,11.666666666666664
45,5,emergencia,6,47.0,36.333333333333336,10.666666666666664
47,2,preemergencia,0,47.0,58.333333333333336,-11.333333333333336
47,2,preemergencia,1,55.0,58.333333333333336,-3.3333333333333357
47,2,preemergencia,2,82.0,58.333333333333336,23.666666666666664
47,2,preemergencia,3,65.0,58.333333333333336,6.666666666666664
47,2,preemergencia,5,75.0,58.333333333333336,16.666666666666664
47,2,preemergencia,6,70.0,58.333333333333336,11.666666666666664
49,3,emergencia,0,70.0,70.0,0.0
49,3,emergencia,2,57.0,70.0,-13.0
49,3,emergencia,3,77.0,70.0,7.0
49,3,emergencia,4,66.0,70.0,-4.0
49,3,emergencia,5,84.0,70.0,14.0
49,3,emergencia,6,51.0,70.0,-19.0
55,2,emergencia,0,78.0,86.5,-8.5
55,2,emergencia,1,81.0,86.5,-5.5
55,2,emergencia,2,74.0,86.5,-12.5
55,2,emergencia,3,64.0,86.5,-22.5
55,2,emergencia,4,81.0,86.5,-5.5
55,2,emergencia,5,100.0,86.5,13.5
55,2,emergencia,6,103.0,86.5,16.5
61,5,emergencia,0,99.0,89.5,9.5
61,5,emergencia,1,77.0,89.5,-12.5
61,5,emergencia,2,86.0,89.5,-3.5
61,5,emergencia,3,90.0,89.5,0.5
61,5,emergencia,4,63.0,89.5,-26.5
61,5,emergencia,5,101.0,89.5,11.5
61,5,emergencia,6,93.0,89.5,3.5
63,2,preemergencia,0,90.0,87.33333333333333,2.6666666666666714
63,2,preemergencia,1,63.0,87.33333333333333,-24.33333333333333
63,2,preemergencia,2,101.0,87.33333333333333,13.666666666666671
63,2,preemergencia,3,93.0,87.33333333333333,5.666666666666671
63,2,preemergencia,4,84.0,87.33333333333333,-3.3333333333333286
63,2,preemergencia,5,81.0,87.33333333333333,-6.333333333333329
63,2,preemergencia,6,59.0,87.33333333333333,-28.33333333333333
67,2,preemergencia,0,65.0,76.33333333333333,-11.333333333333329
67,2,preemergencia,1,46.0,76.33333333333333,-30.33333333333333
67,2,preemergencia,2,73.0,76.33333333333333,-3.3333333333333286
67,2,preemergencia,3,69.0,76.33333333333333,-7.333333333333329
67,2,preemergencia,4,52.0,76.33333333333333,-24.33333333333333
67,2,preemergencia,5,63.0,76.33333333333333,-13.333333333333329
67,2,preemergencia,6,53.0,76.33333333333333,-23.33333333333333
69,2,preemergencia,0,77.0,74.33333333333333,2.6666666666666714
69,2,preemergencia,1,66.0,74.33333333333333,-8.333333333333329
69,2,preemergencia,2,109.0,74.33333333333333,34.66666666666667
69,2,preemergencia,3,100.0,74.33333333333333,25.66666666666667
69,2,preemergencia,4,118.0,74.33333333333333,43.66666666666667
69,2,preemergencia,5,117.0,74.33333333333333,42.66666666666667
69,2,preemergencia,6,98.0,74.33333333333333,23.66666666666667
71,3,emergencia,0,117.0,109.0,8.0
71,3,emergencia,1,98.0,109.0,-11.0
71,3,emergencia,2,93.0,109.0,-16.0
71,3,emergencia,4,104.0,109.0,-5.0
71,3,emergencia,5,98.0,109.0,-11.0
71,3,emergencia,6,121.0,109.0,12.0
79,3,emergencia,0,76.0,58.0,18.0
79,3,emergencia,1,77.0,58.0,19.0
79,3,emergencia,2,95.0,58.0,37.0
79,3,emergencia,3,70.0,58.0,12.0
79,3,emergencia,4,62.0,58.0,4.0
79,3,emergencia,5,77.0,58.0,19.0
83,3,emergencia,0,106.0,101.0,5.0
83,3,emergencia,1,109.0,101.0,8.0
83,3,emergencia,2,69.0,101.0,-32.0
83,3,emergencia,3,71.0,101.0,-30.0
83,3,emergencia,4,55.0,101.0,-46.0
89,3,emergencia,0,59.0,,
89,3,emergencia,1,73.0,,
89,3,emergencia,2,45.0,,
89,3,emergencia,3,61.0,,
89,3,emergencia,4,48.0,,
89,3,emergencia,5,43.0,,
89,3,emergencia,6,46.0,,
93,2,preemergencia,0,37.0,53.0,-16.0
93,2,preemergencia,1,38.0,53.0,-15.0
93,2,preemergencia,2,32.0,53.0,-21.0
93,2,preemergencia,3,47.0,53.0,-6.0
93,2,preemergencia,4,57.0,53.0,4.0
93,2,preemergencia,5,59.0,53.0,6.0
93,2,preemergencia,6,43.0,53.0,-10.0
97,5,emergencia,0,61.0,72.0,-11.0
97,5,emergencia,1,111.0,72.0,39.0
97,5,emergencia,2,124.0,72.0,52.0
97,5,emergencia,3,69.0,72.0,-3.0
97,5,emergencia,4,132.0,72.0,60.0
97,5,emergencia,5,79.0,72.0,7.0
97,5,emergencia,6,72.0,72.0,0.0
105,2,preemergencia,0,88.0,80.66666666666667,7.333333333333329
105,2,preemergencia,1,74.0,80.66666666666667,-6.666666666666671
105,2,preemergencia,2,70.0,80.66666666666667,-10.666666666666671
105,2,preemergencia,4,53.0,80.66666666666667,-27.66666666666667
105,2,preemergencia,5,108.0,80.66666666666667,27.33333333333333
105,2,preemergencia,6,87.0,80.66666666666667,6.333333333333329
109,2,preemergencia,0,87.0,80.5,6.5
109,2,preemergencia,1,81.0,80.5,0.5
109,2,preemergencia,2,90.0,80.5,9.5
109,2,preemergencia,3,82.0,80.5,1.5
109,2,preemergencia,4,53.0,80.5,-27.5
109,2,preemergencia,5,67.0,80.5,-13.5
109,2,preemergencia,6,110.0,80.5,29.5
113,2,preemergencia,0,72.0,73.5,-1.5
113,2,preemergencia,1,50.0,73.5,-23.5
113,2,preemergencia,2,80.0,73.5,6.5
113,2,preemergencia,3,51.0,73.5,-22.5
113,2,preemergencia,4,58.0,73.5,-15.5
113,2,preemergencia,5,76.0,73.5,2.5
113,2,preemergencia,6,82.0,73.5,8.5
115,2,emergencia,0,82.0,61.666666666666664,20.333333333333336
115,2,emergencia,1,68.0,61.666666666666664,6.333333333333336
115,2,emergencia,2,53.0,61.666666666666664,-8.666666666666664
117,3,emergencia,0,52.0,58.0,-6.0
117,3,emergencia,1,44.0,58.0,-14.0
117,3,emergencia,2,57.0,58.0,-1.0
117,3,emergencia,3,45.0,58.0,-13.0
117,3,emergencia,4,43.0,58.0,-15.0
117,3,emergencia,5,30.0,58.0,-28.0
117,3,emergencia,6,54.0,58.0,-4.0
129,3,preemergencia,0,9.0,7.333333333333333,1.666666666666667
129,3,preemergencia,1,11.0,7.333333333333333,3.666666666666667
129,3,preemergencia,2,12.0,7.333333333333333,4.666666666666667
129,3,preemergencia,3,6.0,7.333333333333333,-1.333333333333333
129,3,preemergencia,4,9.0,7.333333333333333,1.666666666666667
129,3,preemergencia,5,8.0,7.333333333333333,0.666666666666667
129,3,preemergencia,6,8.0,7.333333333333333,0.666666666666667
131,3,emergencia,0,3.0,8.5,-5.5
131,3,emergencia,2,3.0,8.5,-5.5
