cluster_max_cat,length_bin,n_clusters,mean_cum_delta,median_cum_delta,mean_peak_delta,mean_peak_lag
emergencia,2,9,-35.2037037037037,7.000000000000007,9.407407407407408,4.222222222222222
emergencia,3,7,-1.7142857142857102,-20.0,15.690476190476192,3.2857142857142856
emergencia,4,2,18.25,18.25,12.583333333333334,2.5
emergencia,5+,4,42.749999999999986,37.499999999999986,26.208333333333332,3.5
preemergencia,2,16,-21.49999999999999,-33.49999999999999,16.552083333333336,3.875
preemergencia,3,6,-22.472222222222218,1.5,7.305555555555557,2.3333333333333335
preemergencia,4,4,-0.6666666666666714,18.5,7.416666666666666,3.0
