group,resp_n,resp_mean,resp_median,resp_p25,resp_p75,resp_p90,tot_n,tot_mean,tot_median,tot_p25,tot_p75,tot_p90,share_n,share_mean,share_median,share_p25,share_p75,share_p90
all_days,3310,52.561933534743204,51.0,23.0,75.0,96.0,3310,218.2380664652568,216.0,172.0,267.0,306.0999999999999,3310,0.2193084195107927,0.22544403573305308,0.13636363636363635,0.2975508969965733,0.3489246103117506
winter,1008,58.07837301587302,61.0,32.0,81.0,101.0,1008,216.39583333333334,219.0,170.0,268.0,308.0,1008,0.2428839539768782,0.26351597840361884,0.17852316602316604,0.31869319577499383,0.36878046119153274
non_winter,2302,50.14639443961772,46.0,22.0,72.0,94.0,2302,219.04474370112945,215.0,173.0,266.0,305.0,2302,0.20898516202086473,0.20696390086206895,0.13068181818181818,0.28103946684083847,0.33844997108155006
