lag,n_obs,mean_delta,median_delta,boot95_low,boot95_high
0,48,-0.0034722222222214327,0.0,-3.9514756944444436,4.0452256944444445
1,40,-3.037499999999999,-6.333333333333336,-8.050416666666665,1.8921874999999975
2,45,-2.34074074074074,-3.5,-8.519814814814813,3.944537037037037
3,39,-5.9401709401709395,-3.0,-11.607051282051282,-0.35876068376068454
4,42,-4.726190476190476,-4.5,-10.90486111111111,1.4883928571428557
5,41,0.3008130081300819,0.0,-4.378963414634145,5.066056910569101
6,35,1.1952380952380959,4.0,-5.743452380952381,7.319166666666669
