lag,mean_resp,median_resp,mean_delta_vs_baseline,n_obs
0,65.05555555555556,66.5,-0.0034722222222215806,54
1,67.66666666666667,68.0,-3.037499999999999,45
2,64.64,68.0,-2.34074074074074,50
3,58.13953488372093,62.0,-5.9401709401709395,43
4,63.5625,56.5,-4.726190476190475,48
5,69.38297872340425,75.0,0.3008130081300819,47
6,70.55,65.0,1.1952380952380957,40
