,IRR,CI95_L,CI95_U,p
C(CAT)[T.regular],1.065844570183433,0.9437971012829854,1.2036746523645918,0.3040840040981436
C(CAT)[T.alerta],1.0869887421687947,0.9220592788749142,1.281419267363596,0.3204792146241281
C(CAT)[T.preemergencia],1.1118392105590158,0.9316205207982974,1.3269205674830113,0.24000940572360707
C(CAT)[T.emergencia],1.1971475053924199,0.8872813072399303,1.6152286067261328,0.23902681086700162
