,IRR,CI95_L,CI95_U,p
C(CAT)[T.regular],1.0246884789594661,0.9082776126256721,1.1560193318834937,0.6918254974010922
C(CAT)[T.alerta],1.0222437913345013,0.8683027545721259,1.2034769709291915,0.7916359086735663
C(CAT)[T.preemergencia],1.0607679833096648,0.8904102200181739,1.2637194510097678,0.5089576898907131
C(CAT)[T.emergencia],1.105888068737349,0.8212768549979719,1.4891305083456219,0.5073384316049527
