,IRR,CI95_L,CI95_U,p
C(CAT)[T.regular],1.0692029987229517,0.9469813357191809,1.2071991383124332,0.27996792177027174
C(CAT)[T.alerta],1.0932210711436938,0.9276309391645067,1.2883704714172108,0.287530647896201
C(CAT)[T.preemergencia],1.1505045668135923,0.9646733339274774,1.372133666087677,0.11880197824474444
C(CAT)[T.emergencia],1.2290874951831077,0.9111462896174619,1.6579731356308585,0.17680329865201272
